run_at_pacific,post_id,account,series,ref,media_id,status,detail
2026-09-24T22:51:20.734130-07:00,sold-2026-09-24-kensington-404-es,ig:ramonhouses,Just Sold,404-20926 83 Ave R3130299,18475391455113571,ok,
2026-09-24T22:51:20.734130-07:00,sold-2026-09-24-kensington-404-es,fb:414239392030697,Just Sold,404-20926 83 Ave R3130299,414239392030697_122228727140048227,ok,
2026-09-24T22:51:20.734130-07:00,sold-2026-09-24-kensington-404-es,li:person,Just Sold,404-20926 83 Ave R3130299,urn:li:share:7509127599999213568,ok,
2026-09-24T22:51:20.734130-07:00,sold-2026-09-24-kensington-404-es,threads,Just Sold,404-20926 83 Ave R3130299,18142323220595995,ok,
2026-09-25T06:38:10.573601-07:00,r2-day-026,ig:growthwealth,Round 2,Day 026,18017642117935098,ok,
2026-09-25T06:38:10.573601-07:00,r2-day-026,fb:543998318793132,Round 2,Day 026,543998318793132_122181072602716289,ok,
2026-09-25T11:29:24.451051-07:00,reel-en-w04a,ig:ramonhouses,Reel EN,w04a,18092955887238461,ok,
2026-09-25T11:29:24.451051-07:00,reel-en-w04a,fb:414239392030697,Reel EN,w04a,1449461567124463,ok,
2026-09-25T11:29:24.451051-07:00,reel-en-w04a,threads,Reel EN,w04a,18168816826461540,ok,
2026-09-25T11:29:24.451051-07:00,reel-en-w04a,yt,Reel EN,w04a,nWaRfB9qLHg,ok,
2026-09-25T15:13:18.714384-07:00,rq-07-es,ig:ramonhouses,RE Quote ES,Card 07,18096505568415666,ok,
2026-09-25T15:13:18.714384-07:00,rq-07-es,fb:414239392030697,RE Quote ES,Card 07,414239392030697_122228797094048227,ok,
2026-09-25T15:13:18.714384-07:00,rq-07-es,li:person,RE Quote ES,Card 07,urn:li:share:7509374570873700352,ok,
2026-09-25T15:13:18.714384-07:00,rq-07-es,threads,RE Quote ES,Card 07,18106580408351031,ok,
2026-09-25T15:13:18.714384-07:00,r2b-day-026,ig:growthwealth,Round 2b,Day 026,17885339916653337,ok,
2026-09-25T15:13:18.714384-07:00,r2b-day-026,fb:543998318793132,Round 2b,Day 026,543998318793132_122181118382716289,ok,
